source,target,score
14858,49308,0.8806201550387597
14858,49309,0.8077519379844961
14858,15011,0.8697674418604651
14858,40101,0.8356589147286821
14858,40105,0.9271317829457364
14858,15021,0.8868217054263566
14858,29373,0.8422939068100358
4812,14858,0.7798449612403101
14858,15054,0.8914728682170543
14858,49901,0.8697674418604651
13039,14858,0.8992248062015504
14858,49905,0.6604651162790698
14101,14858,0.786046511627907
14858,15015,0.8124031007751938
14651,14858,0.8325581395348837
1366,14858,0.7612403100775194
14858,15703,0.8728682170542635
14858,14912,0.8201550387596899
14858,40301,0.8232558139534883
14709,14858,0.8914728682170543
14203,14858,0.7627906976744186
14213,14858,0.8527131782945736
14858,39310,0.8666666666666667
14230,14858,0.8496124031007752
14858,29142,0.8976744186046511
14812,14858,0.8155038759689922
14307,14858,0.8744186046511628
14871,15704,0.8031007751937984
15704,94240,0.765891472868217
15704,29732,0.7891472868217054
15704,49702,0.7317829457364341
15704,40500,0.8031007751937984
15704,40502,0.813953488372093
10808,15704,0.786046511627907
14400,15704,0.7984496124031008
15425,15704,0.7457364341085271
14914,15704,0.8186046511627907
14920,15704,0.7906976744186046
14440,15704,0.7705426356589147
15704,29305,0.7751937984496124
15502,15704,0.7069767441860465
15704,49300,0.8031007751937984
15704,49308,0.8186046511627907
15704,49309,0.7550387596899225
15011,15704,0.7751937984496124
15704,40101,0.7441860465116279
15704,40105,0.7891472868217054
15021,15704,0.7968992248062016
15704,29373,0.7562724014336918
4812,15704,0.7178294573643411
15054,15704,0.8155038759689922
15704,49901,0.8
13039,15704,0.813953488372093
15704,49905,0.6573643410852713
14101,15704,0.7441860465116279
15015,15704,0.7689922480620155
14651,15704,0.7798449612403101
1366,15704,0.7069767441860465
15703,15704,0.8155038759689922
14912,15704,0.7782945736434108
15704,40301,0.7829457364341085
14709,15704,0.8186046511627907
14203,15704,0.7348837209302326
14213,15704,0.8046511627906977
15704,39310,0.8170542635658915
14230,15704,0.7689922480620155
15704,29142,0.8248062015503876
14812,15704,0.7286821705426356
14307,15704,0.7984496124031008
14871,94240,0.8170542635658915
14871,29732,0.875968992248062
14871,49702,0.751937984496124
14871,40500,0.8217054263565892
14871,40502,0.8852713178294573
10808,14871,0.8806201550387597
14400,14871,0.8542635658914729
14871,15425,0.8031007751937984
14871,14914,0.8697674418604651
14871,14920,0.8573643410852713
14871,14922,0.6821705426356589
14440,14871,0.8496124031007752
14871,29305,0.8186046511627907
14871,15502,0.7674418604651163
14871,49300,0.8790697674418605
14871,49308,0.9100775193798449
14871,49309,0.8527131782945736
14871,15011,0.8697674418604651
14871,40101,0.8418604651162791
14871,40105,0.8682170542635659
14871,15021,0.8914728682170543
14871,29373,0.8458781362007168
4812,14871,0.7813953488372093
14871,15054,0.8744186046511628
14871,49901,0.8511627906976744
13039,14871,0.8930232558139535
14871,49905,0.6589147286821705
14101,14871,0.7984496124031008
14871,15015,0.8201550387596899
14651,14871,0.8170542635658915
1366,14871,0.7844961240310078
14871,15703,0.8682170542635659
14871,14912,0.8387596899224806
14871,40301,0.8
14709,14871,0.8992248062015504
14203,14871,0.7488372093023256
14213,14871,0.8480620155038759
14871,39310,0.8930232558139535
14230,14871,0.8790697674418605
14871,29142,0.9023255813953488
14812,14871,0.8124031007751938
14307,14871,0.8945736434108527
29732,94240,0.8046511627906977
49702,94240,0.7302325581395349
40500,94240,0.7875968992248062
40502,94240,0.834108527131783
10808,94240,0.834108527131783
14400,94240,0.8294573643410853
15425,94240,0.7891472868217054
14914,94240,0.8465116279069768
14920,94240,0.8186046511627907
14440,94240,0.8077519379844961
29305,94240,0.7906976744186046
15502,94240,0.7441860465116279
49300,94240,0.8170542635658915
49308,94240,0.8511627906976744
49309,94240,0.8015503875968992
15011,94240,0.7968992248062016
40101,94240,0.7968992248062016
40105,94240,0.8108527131782945
15021,94240,0.8418604651162791
29373,94240,0.8028673835125448
4812,94240,0.7333333333333333
15054,94240,0.8403100775193798
49901,94240,0.7922480620155039
